Numero control Encuesta;Departamento;Tipo: H o R;Tamano;Sexo;Edad;Es jefe de hogar;Personas que dependen;Cuantos aportan al hog;Lugar nacimiento codigo;Otro pais. Especificar;Ano llego Uruguay ultima vez;Nivel educ formal;Alguno de los estudios que;Especifique si es otro;Realizo cursos rel con cargo;Han sido pagados por;Segunda opcion;Total horas de cursos;Tiene otro trabajo;Sector del otro trab;Especifique sin no es turismo;Tipo contrato;Termino del contrato;Especifique meses/u otro termino;Contrato por empresa para la que hace tarea;Esta en caja;Aporta por 100% salario;Si no en caja: goza benef;Tipo horario;Especifique tipo horario;Criterio dia libre;Horas que trabaja en la semana;Razon empleo es parcial;Especifique razon;Trabaja todos meses del ano;Cual es el motivo prinicpal por el que no trabaja todos los;Otro motivo. Especificar;En este empleo pertenece a un sindicato;Conoce usted los beneficios de la neg colect;Codigo Seccion o depto trabaja;Nombre seccion o depto donde trabaja;Codigo puesto/cargo de contrato;Nombre puesto/cargo de contrato;Realiza tareas diferentes puestos;Antiguedad ANOS;Si no tenia experiencia previa en el ramo..Ramo de donde proviene;Especificar ramo;Cual es la Principal razon trabaja en rubro;Especifique razon estar en rubro;Salario mensual sin propina;Rango sal mens sin propina;Cuanto gana hora/dia;Propina mes/temp alta;Propina mes/temp baja;Estoy activamente buscando otras;El ano que viene voy a  buscar otro trabajo;Voy a cambiar de trabajo a primera oportunidad;Tengo la intencion de renunciar;Motivo principal por el que esta buscando;Me sentiria culpable;Siento una responsabilidad;Si tuviera una oferta;Creo que no podria;Aunque fuera ventajoso;Esta empresa se merece;Seria muy feliz si;Realmente siento los;Esta empresa significa;En esta empresa me;Siento amor por mi empresa;Me gusta la tarea que ;Estoy satisfecho con las posibilidades;Estoy satisfecho con mi trabajo;Mi salario me satisface;Estoy satisfecho con cantidad de horas;Limpieza, iluminacion ventilacion;El entorno fisico y el espacio;Los medios materiales que tengo;En mi empresa tengo satisfactorias oportunidades;Estoy satisfecho con la formacion;La forma en que se lleva a cabo la negociacion;La supervision que ejercen sobre mi;Estoy satisfecho de como mi empresa cumple el convenio;Estoy satisfecho con la estabilidad;Estoy satisfecho con el grado de participacion;Me gusta la forma en que mis superiores juzgan;Me satisface mi capacidad actual;Mi empresa me trata con buena jusicia;Estoy contento con el apoyo;Me satisface mi actual grado;Estoy satisfecho con las relaciones;Estoy satisfecho con los incentivos;Estoy contento con el nivel;Estoy satisfecho con mi jornada;Estoy satisfecho con las normas de seguridad;Satisfaccion Global
12;Maldonado;Restaurante;7;Mujer;48;No;0;0;Uruguay;;99;TenicaSuperior(Completa);Ninguno;99;Si;6;;100;Si;Otro;Estudio Notarial;Verbal;No tengo contrato;NULL;1;Si;3;99;Otro;Noche fines de semana y feriados;1;30;3;99;No;2;99;No;No;22;Alimentos y bebidas/ Sala-Restaurantes;22.1.;Anfitrion de restaurantes     ;Si, todos los niveles;5;99;NULL;Siempre quise;99;10000;1;300;NULL;99;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
14;Colonia;Hotel;104;Mujer;43;Si;0;0;Uruguay;;99;MediaCompleta;Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo nocturno;NULL;1;40;99;99;Si;99;99;No;No;12;Habitaciones Recepcion;12.2.;Recepcionista       ;Generalmente no;6;99;NULL;No encontre mejor opcion;99;25500;6;99;5000;1000;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
15;Montevideo;Restaurante;35;Mujer;30;Si;1;0;OtroPais;Venezuela;2018;Universitaria(Completa);Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;42;2;99;Si;99;99;No;No;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;Generalmente no;1;99;NULL;No encontre mejor opcion;99;15000;2;99;NULL;99;DefinitivamanteSi;DefinitivamanteSi;Tal vez Si;Tal vez No;Trabajar independiente;Totalmente desacuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;Moderadamente desacuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Moderadamente desacuerdo;Moderadamente desacuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Moderadamente desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
16;Montevideo;Restaurante;65;Hombre;28;Si;0;0;Uruguay;;99;Universitaria(Incompleta);Ninguno;99;No;99;;99;Si;Turismo;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;35;3;99;Si;99;99;No;No;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;Generalmente no;1;99;NULL;Siempre quise;99;NULL;2;99;8000;8000;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente desacuerdo;Moderadamente de acuerdo;Moderadamente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
17;Montevideo;Restaurante;11;Mujer;21;No;0;2;Uruguay;;99;TerciariaNoUniversitaria(FormacionDocente)Incompleta;Ninguno;99;Si;3;;10;No;99;99;Escrito;A termino zafra;3;1;No;99;8;Turno fijo diurno;NULL;1;30;3;99;No;5;Estudio;No;Si;12;Habitaciones Recepcion;12.2.;Recepcionista       ;Si, nivel inferior;1;99;NULL;No sabe;99;NULL;1;99;NULL;99;Tal vez No;Tal vez Si;Tal vez No;DefinitivamenteNo;Teme quedar sin empleo0;Moderadamente de acuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
18;Montevideo;Restaurante;7;Hombre;28;No;0;3;Uruguay;;99;TecinaSuperior(Incompleta);Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;3;99;Turno fijo diurno;NULL;1;44;99;99;Si;99;99;No;No;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;Generalmente no;3;99;NULL;No sabe;99;NULL;6;99;NULL;99;Tal vez No;Tal vez Si;Tal vez Si;Tal vez No;Tabajar menos horas;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Moderadamente desacuerdo;Moderadamente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Moderadamente de acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
19;Montevideo;Restaurante;70;Hombre;24;Si;0;0;Uruguay;;99;MediaSecundaria(Incompleta);Ninguno;99;Si;4;;100;Si;Otro;Eventos;Escrito;Otro;NULL;2;Si;1;99;Turno fijo diurno;NULL;1;48;99;99;Si;99;99;Si;Si;23;Alimentos y bebidas/ Banquetes y Eventos;23.3.;Mozo       ;Si, mismo nivel;3;99;NULL;Siempre quise;99;20000;4;99;NULL;99;DefinitivamenteNo;DefinitivamanteSi;Tal vez Si;DefinitivamanteSi;Tabajar menos horas;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Moderadamente de acuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo
20;Montevideo;Restaurante;30;Mujer;24;Si;0;1;OtroPais;Cuba;2015;TenicaSuperior(Completa);Ninguno;99;Si;3;;100;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;35;4;NULL;Si;99;99;No;No;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;Generalmente no;1;99;NULL;Siempre quise;99;NULL;2;99;6000;NULL;DefinitivamenteNo;Tal vez No;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
21;Montevideo;Restaurante;7;Hombre;28;Si;2;1;Uruguay;;99;BasicaPrimaria(Incompleta);Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;48;99;99;Si;99;99;No;No;20;Alimentos y bebidas/ Cocina;20.1.;Lavandin       ;Si, todos los niveles;1;99;NULL;Siempre quise;99;13000;1;99;NULL;10500;DefinitivamenteNo;Tal vez No;Tal vez No;DefinitivamenteNo;99;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;Moderadamente desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
22;Montevideo;Restaurante;65;Mujer;22;No;0;1;Uruguay;;2015;MediaCompleta;Otro.Especificar;LICEO TURISMO ;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;3;99;Turno fijo diurno;NULL;1;42;4;fue la unica opcion presentada;Si;99;99;No;No;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;Generalmente no;1;99;NULL;No encontre mejor opcion;99;NULL;2;99;19200;19200;DefinitivamanteSi;DefinitivamanteSi;Tal vez No;DefinitivamenteNo;No le gusta su trabajo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
23;Montevideo;Restaurante;60;Hombre;45;Si;2;1;OtroPais;Estados Unidos;1989;TerciariaNoUniversitaria(FormacionDocente)Incompleta;Hoteleria(Kolping);99;Si;3;;100;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;50;99;99;Si;99;99;No;Si;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;Si, todos los niveles;30;99;NULL;Otro;Dinero;17794;3;300;50000;50000;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo
24;Montevideo;Restaurante;50;Mujer;28;No;0;1;Uruguay;;99;MediaCompleta;Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno rotativo con noche;NULL;1;44;99;99;Si;99;99;No;No;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;Generalmente no;1;99;NULL;No sabe;99;19000;4;99;26000;NULL;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Moderadamente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;NULL;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
25;Montevideo;Restaurante;60;Hombre;33;No;2;1;Uruguay;;99;MediaSecundaria(Incompleta);UTU-Turismo;99;Si;3;;71;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;48;99;99;Si;99;99;Si;Si;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;Generalmente no;13;NULL;NULL;Siempre quise;99;23000;5;99;24000;12000;Tal vez Si;DefinitivamenteNo;Tal vez Si;Tal vez Si;Tener tiempo estudio/actividades;Totalmente desacuerdo;Totalmente desacuerdo;Moderadamente desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo
26;Montevideo;Restaurante;99;Hombre;36;Si;2;0;Uruguay;;99;MediaSecundaria(Incompleta);Ninguno;99;No;99;;99;No;99;99;Verbal;Permanente;99;1;Si;1;99;Turno fijo nocturno;NULL;2;20;2;99;Si;99;99;No;Si;22;AyB Banquete/Eventos;22.2;Mozo   ;Si, todos los niveles;6;99;NULL;No sabe;99;NULL;99;99;NULL;99;DefinitivamanteSi;DefinitivamanteSi;DefinitivamanteSi;DefinitivamenteNo;Tener tiempo familia;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
27;Montevideo;Restaurante;40;Hombre;29;No;0;6;OtroPais;Brasil;2017;Universitaria(Incompleta);LicenciaturaTurismo(UDELAR);99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo nocturno;NULL;1;NULL;99;99;Si;99;99;No;No;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;Si, todos los niveles;2;99;NULL;Siempre quise;99;15000;2;99;99;NULL;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Moderadamente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Totalmente desacuerdo;Moderadamente de acuerdo;Totalmente de acuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
28;Montevideo;Restaurante;20;Mujer;21;No;0;4;Uruguay;;99;TenicaSuperior(Completa);Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;30;1;99;Si;99;99;No;No;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;Generalmente no;1;99;NULL;Siempre quise;99;NULL;3;99;NULL;2000;DefinitivamenteNo;Tal vez Si;DefinitivamenteNo;DefinitivamenteNo;Teme quedar sin empleo;Moderadamente de acuerdo;Moderadamente de acuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;Ni decuedo ni desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo
29;Montevideo;Restaurante;5;Hombre;39;Si;0;1;Uruguay;;2009;MediaSecundaria(Incompleta);Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Otro;NULL;1;50;99;99;Si;99;99;No;No;5;Gerencia general - apoyo;5.1.;Secretaria de Gerencia general    ;Si, mismo nivel;15;99;NULL;No encontre mejor opcion;99;NULL;99;99;NULL;99;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;DefinitivamenteNo;99;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
30;Montevideo;Restaurante;9;Mujer;21;No;0;2;OtroPais;Venezuela;2016;Universitaria(Incompleta);Ninguno;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;1;48;99;99;Si;99;99;No;No;22;Alimentos y bebidas/ Sala-Restaurantes;22.8.;Otro       ;Si, mismo nivel;1;NULL;NULL;No encontre mejor opcion;99;NULL;2;99;99;99;Tal vez No;Tal vez Si;Tal vez Si;Tal vez No;99;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;Moderadamente desacuerdo;Moderadamente desacuerdo;Moderadamente desacuerdo;Moderadamente desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Moderadamente desacuerdo;Moderadamente desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo
31;Montevideo;Restaurante;50;Hombre;20;No;0;3;Uruguay;;2013;TenicaSuperior(Completa);Ninguno;99;Si;3;;100;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo nocturno;NULL;1;44;99;99;Si;99;99;No;No;20;Alimentos y bebidas/ Cocina;20.2.;Ayudante de cocina     ;Generalmente no;1;99;NULL;No encontre mejor opcion;99;NULL;4;99;9000;NULL;DefinitivamenteNo;DefinitivamenteNo;Tal vez Si;DefinitivamenteNo;Teme quedar sin empleo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Ni decuedo ni desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
32;Montevideo;Restaurante;12;Mujer;28;No;1;1;OtroPais;Cuba;2017;Universitaria(Incompleta);UTU-Turismo;99;No;99;;99;No;99;99;Escrito;Permanente;99;1;Si;1;99;Turno fijo diurno;NULL;2;48;99;99;Si;99;99;No;No;20;Alimentos y bebidas/ Cocina;20.2;Ayudante de cocina     ;Si, todos los niveles;2;99;NULL;Siempre quise;99;18000;3;99;NULL;99;Tal vez Si;Tal vez Si;Tal vez Si;Tal vez Si;Tabajar menos horas;Moderadamente de acuerdo;Moderadamente de acuerdo;Ni decuedo ni desacuerdo;Moderadamente desacuerdo;Totalmente desacuerdo;Moderadamente desacuerdo;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;NULL;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo
33;Montevideo;Restaurante;12;Hombre;22;Si;0;1;Uruguay;;99;BasicaPrimaria(Incompleta);Ninguno;99;No;99;;99;No;99;99;Verbal;Permanente;99;1;Si;2;99;Horario Cortado;NULL;1;70;99;99;Si;99;99;No;No;20;Alimentos y bebidas/ Cocina;20.5.;Cocinero       ;Si, todos los niveles;5;99;NULL;No sabe;99;8000;1;6000;NULL;4000;DefinitivamanteSi;DefinitivamanteSi;DefinitivamenteNo;DefinitivamenteNo;Trabajar independiente;Ni decuedo ni desacuerdo;Totalmente de acuerdo;Moderadamente de acuerdo;Totalmente de acuerdo;Ni decuedo ni desacuerdo;Totalmente desacuerdo;Totalmente desacuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo
